Date,Name,Year,Letterboxd URI,Rating
2023-03-20,Spirited Away,2001,https://boxd.it/2b4m,5
2023-03-20,Central Station,1998,https://boxd.it/29RG,4
2023-03-20,High and Low,1963,https://boxd.it/1RSc,5
2023-03-20,Whiplash,2014,https://boxd.it/7bQA,5
2023-03-20,Ran,1985,https://boxd.it/1Tlu,5
2023-03-21,Tokyo Story,1953,https://boxd.it/1HuY,5
2023-03-23,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,5
2023-03-23,The Batman,2022,https://boxd.it/eDGs,4
2023-03-23,Dune,2021,https://boxd.it/fA7G,4
2023-03-23,Taxi Driver,1976,https://boxd.it/2b8y,4.5
2023-03-23,Memento,2000,https://boxd.it/2bcK,4.5
2023-03-23,The Worst Person in the World,2021,https://boxd.it/oyws,5
2023-03-23,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,4
2023-03-23,Isle of Dogs,2018,https://boxd.it/dZrW,4
2023-03-23,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,3.5
2023-03-23,The Jungle Book,2016,https://boxd.it/8wjk,4
2023-03-23,Mad Max: Fury Road,2015,https://boxd.it/2DjO,5
2023-03-23,Her,2013,https://boxd.it/4O24,4.5
2023-03-23,Inside Llewyn Davis,2013,https://boxd.it/34Ro,4
2023-03-23,Django Unchained,2012,https://boxd.it/2cCk,4.5
2023-03-23,Silver Linings Playbook,2012,https://boxd.it/2TTo,5
2023-03-23,Thor,2011,https://boxd.it/1WQU,3.5
2023-03-23,The Green Hornet,2011,https://boxd.it/10TQ,3.5
2023-03-23,13 Assassins,2010,https://boxd.it/jqc,4
2023-03-23,Shutter Island,2010,https://boxd.it/1U82,3.5
2023-03-23,Fish Tank,2009,https://boxd.it/1xBg,4.5
2023-03-23,Inglourious Basterds,2009,https://boxd.it/1JzG,4.5
2023-03-23,Ip Man,2008,https://boxd.it/1NrQ,3.5
2023-03-23,The Curious Case of Benjamin Button,2008,https://boxd.it/23Fk,5
2023-03-23,Man on Wire,2008,https://boxd.it/1ORK,5
2023-03-23,Up the Yangtze,2007,https://boxd.it/1MwA,4
2023-03-23,"4 Months, 3 Weeks and 2 Days",2007,https://boxd.it/27DW,5
2023-03-23,The Prestige,2006,https://boxd.it/293w,4
2023-03-23,The Departed,2006,https://boxd.it/28MA,3.5
2023-03-23,Babel,2006,https://boxd.it/292o,4
2023-03-23,The Fountain,2006,https://boxd.it/28RU,4.5
2023-03-23,Lady in the Water,2006,https://boxd.it/1Y1E,3.5
2023-03-23,Capote,2005,https://boxd.it/2atq,5
2023-03-23,Lady Vengeance,2005,https://boxd.it/248G,4.5
2023-03-23,The Child,2005,https://boxd.it/1TJm,4.5
2023-03-23,A History of Violence,2005,https://boxd.it/2bfa,4.5
2023-03-23,The Life Aquatic with Steve Zissou,2004,https://boxd.it/2aqw,4
2023-03-23,Sideways,2004,https://boxd.it/1Y5c,3.5
2023-03-23,The Polar Express,2004,https://boxd.it/23am,3.5
2023-03-23,Three... Extremes,2004,https://boxd.it/1eGw,4.5
2023-03-23,House of Flying Daggers,2004,https://boxd.it/1YoI,3.5
2023-03-23,Troy,2004,https://boxd.it/29TW,3
2023-03-23,Mean Girls,2004,https://boxd.it/1VNg,4
2023-03-23,The Ladykillers,2004,https://boxd.it/22Z4,4.5
2023-03-23,Oldboy,2003,https://boxd.it/29R2,5
2023-03-23,21 Grams,2003,https://boxd.it/2ajK,3.5
2023-03-23,The Dreamers,2003,https://boxd.it/28X4,4.5
2023-03-23,Lost in Translation,2003,https://boxd.it/2b0E,4
2023-03-23,"Goodbye, Dragon Inn",2003,https://boxd.it/oFG,4
2023-03-23,Finding Nemo,2003,https://boxd.it/72i,4.5
2023-03-23,The Brown Bunny,2003,https://boxd.it/1RnI,3.5
2023-03-23,Elephant,2003,https://boxd.it/287i,3.5
2023-03-23,Mystic River,2003,https://boxd.it/2aAG,3.5
2023-03-23,"Good Bye, Lenin!",2003,https://boxd.it/2ayA,4
2023-03-23,Ong-Bak,2003,https://boxd.it/1YZk,4
2023-03-23,25th Hour,2002,https://boxd.it/28LC,4
2023-03-23,Gangs of New York,2002,https://boxd.it/25FG,3
2023-03-23,Adaptation.,2002,https://boxd.it/26mA,4
2023-03-23,Spider,2002,https://boxd.it/1YeI,3
2023-03-23,Phone Booth,2002,https://boxd.it/285G,3
2023-03-23,8 Mile,2002,https://boxd.it/2bew,4
2023-03-23,Ripley's Game,2002,https://boxd.it/1UZg,3.5
2023-03-23,Hero,2002,https://boxd.it/2bcq,4
2023-03-23,Minority Report,2002,https://boxd.it/2aWi,4
2023-03-23,Irreversible,2002,https://boxd.it/29as,4
2023-03-23,About Schmidt,2002,https://boxd.it/26mU,4.5
2023-03-23,City of God,2002,https://boxd.it/2a2a,5
2023-03-23,Insomnia,2002,https://boxd.it/2aB0,4
2023-03-25,Hotel Rwanda,2004,https://boxd.it/2aSA,4
2023-03-25,Citizen Kane,1941,https://boxd.it/71O,4
2023-03-25,Bicycle Thieves,1948,https://boxd.it/23hW,5
2023-03-25,The Third Man,1949,https://boxd.it/294E,4.5
2023-03-25,Late Spring,1949,https://boxd.it/1DkK,5
2023-03-25,Stray Dog,1949,https://boxd.it/1ltu,5
2023-03-25,Rashomon,1950,https://boxd.it/2a9K,5
2023-03-25,Diary of a Country Priest,1951,https://boxd.it/UDC,4.5
2023-03-25,Early Summer,1951,https://boxd.it/E4G,4.5
2023-03-25,Umberto D.,1952,https://boxd.it/29vg,5
2023-03-25,Ikiru,1952,https://boxd.it/251c,5
2023-03-25,Monsieur Hulot's Holiday,1953,https://boxd.it/29E8,5
2023-03-25,The Wages of Fear,1953,https://boxd.it/2aSK,5
2023-03-25,I Vitelloni,1953,https://boxd.it/1RJE,4
2023-03-25,Seven Samurai,1954,https://boxd.it/2axi,5
2023-03-25,Rear Window,1954,https://boxd.it/2a6Q,4.5
2023-03-25,I Live in Fear,1955,https://boxd.it/1BOo,4
2023-03-25,Night and Fog,1956,https://boxd.it/29A6,5
2023-03-25,The Seventh Seal,1957,https://boxd.it/2ahO,4.5
2023-03-25,Nights of Cabiria,1957,https://boxd.it/1F7e,4
2023-03-25,The Cranes Are Flying,1957,https://boxd.it/169Y,4
2023-03-25,Wild Strawberries,1957,https://boxd.it/29ZU,5
2023-03-25,Mon Oncle,1958,https://boxd.it/2apy,5
2023-03-25,The Hidden Fortress,1958,https://boxd.it/295M,4
2023-03-25,The 400 Blows,1959,https://boxd.it/2b1C,4
2023-03-25,Hiroshima Mon Amour,1959,https://boxd.it/22WY,5
2023-03-25,Good Morning,1959,https://boxd.it/2lkk,4.5
2023-03-25,Ballad of a Soldier,1959,https://boxd.it/MPq,4.5
2023-03-25,La Dolce Vita,1960,https://boxd.it/2anC,4
2023-03-25,L'Avventura,1960,https://boxd.it/23hs,4
2023-03-25,Psycho,1960,https://boxd.it/2ab2,5
2023-03-25,Kapo,1960,https://boxd.it/Ou0,4
2023-03-25,Spartacus,1960,https://boxd.it/29bq,3.5
2023-03-25,Yojimbo,1961,https://boxd.it/1SRY,4
2023-03-25,Last Year at Marienbad,1961,https://boxd.it/24Qe,5
2023-03-25,Breakfast at Tiffany's,1961,https://boxd.it/2aYS,4
2023-03-25,Jules and Jim,1962,https://boxd.it/28rM,4
2023-03-25,La Jetée,1962,https://boxd.it/29Sk,4
2023-03-25,Lolita,1962,https://boxd.it/29Ag,4
2023-03-25,The Trial,1962,https://boxd.it/25Xg,4.5
2023-03-25,The Leopard,1963,https://boxd.it/296K,4.5
2023-03-25,Lord of the Flies,1963,https://boxd.it/1Xqy,3.5
2023-03-25,Billy Liar,1963,https://boxd.it/1tGQ,3.5
2023-03-25,A Fistful of Dollars,1964,https://boxd.it/2auo,4
2023-03-25,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,4.5
2023-03-25,Alphaville,1965,https://boxd.it/20AG,3
2023-03-25,"Faster, Pussycat! Kill! Kill!",1965,https://boxd.it/2aBO,4
2023-03-25,Tokyo Drifter,1966,https://boxd.it/OTY,4
2023-03-25,Au Hasard Balthazar,1966,https://boxd.it/1E3g,5
2023-03-25,Blow-Up,1966,https://boxd.it/2966,4
2023-03-25,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,4
2023-03-25,The Jungle Book,1967,https://boxd.it/1YY2,4.5
2023-03-25,Le Samouraï,1967,https://boxd.it/22ZI,5
2023-03-25,PlayTime,1967,https://boxd.it/1WLK,5
2023-03-25,The Graduate,1967,https://boxd.it/18Im,4
2023-03-25,2001: A Space Odyssey,1968,https://boxd.it/2bf0,5
2023-03-25,"Je T'Aime, Je T'Aime",1968,https://boxd.it/23P0,4
2023-03-25,Rosemary's Baby,1968,https://boxd.it/29zM,4
2023-03-25,Stolen Kisses,1968,https://boxd.it/2aL0,4
2023-03-25,Bullitt,1968,https://boxd.it/29i2,4
2023-03-25,Midnight Cowboy,1969,https://boxd.it/25Hi,4
2023-03-25,The Wild Bunch,1969,https://boxd.it/2a5y,4.5
2023-03-25,The Out-of-Towners,1970,https://boxd.it/1Dt8,3.5
2023-03-25,Catch-22,1970,https://boxd.it/1WrK,3.5
2023-03-25,Bed and Board,1970,https://boxd.it/2aKw,3.5
2023-03-25,Dodes'ka-den,1970,https://boxd.it/1fVs,4.5
2023-03-25,Get Carter,1971,https://boxd.it/28HU,3.5
2023-03-25,Trafic,1971,https://boxd.it/1TZu,4
2023-03-25,The French Connection,1971,https://boxd.it/296g,4.5
2023-03-25,A Clockwork Orange,1971,https://boxd.it/2aVE,5
2023-03-25,Straw Dogs,1971,https://boxd.it/2982,4.5
2023-03-25,The Harder They Come,1972,https://boxd.it/20RC,4
2023-03-25,The Discreet Charm of the Bourgeoisie,1972,https://boxd.it/2440,4
2023-03-25,The Mother and the Whore,1973,https://boxd.it/HQe,5
2023-03-25,Mean Streets,1973,https://boxd.it/2aSU,4
2023-03-25,Amarcord,1973,https://boxd.it/20NA,3.5
2023-03-25,The Exorcist,1973,https://boxd.it/1Yoo,4
2023-03-25,Ali: Fear Eats the Soul,1974,https://boxd.it/2aRi,5
2023-03-25,The Night Porter,1974,https://boxd.it/1tsk,4
2023-03-25,Hearts and Minds,1974,https://boxd.it/WSE,4.5
2023-03-25,Bring Me the Head of Alfredo Garcia,1974,https://boxd.it/1SIs,4.5
2023-03-25,Scenes from a Marriage,1974,https://boxd.it/4kJC,4.5
2023-03-25,Swept Away,1974,https://boxd.it/17cY,4
2023-03-25,Dersu Uzala,1975,https://boxd.it/1XRO,4.5
2023-03-25,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,5
2023-03-25,Barry Lyndon,1975,https://boxd.it/25A2,5
2023-03-25,The Man Who Fell to Earth,1976,https://boxd.it/298w,4
2023-03-25,In the Realm of the Senses,1976,https://boxd.it/22qS,4
